user_id,first_name,last_name,maiden_name,age,gender,email,phone,username,birth_date,image,blood_group,height,weight,eye_color,hair_color,hair_type,ip_address,address,city,state,state_code,postal_code,country,mac_address,university,user_agent,crypto_coin,crypto_wallet,crypto_network
1,Emily,Johnson,Smith,29.0,female,emily.johnson@x.dummyjson.com,+81 965-431-3024,emilys,1996-05-30,https://dummyjson.com/icon/emilys/128,O-,193.24,63.16,Green,Brown,Curly,42.48.100.32,626 Main Street,phoenix,mississippi,MS,29112,united states,47:fa:41:18:ec:eb,University of Wisconsin--Madison,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
2,Michael,Williams,,36.0,male,michael.williams@x.dummyjson.com,+49 258-627-6644,michaelw,1989-08-10,https://dummyjson.com/icon/michaelw/128,B+,186.22,76.32,Red,Green,Straight,12.13.116.142,385 Fifth Street,houston,alabama,AL,38807,united states,79:15:78:99:60:aa,Ohio State University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/97.0.1072.76 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
3,Sophia,Brown,,43.0,female,sophia.brown@x.dummyjson.com,+81 210-652-2785,sophiab,1982-11-06,https://dummyjson.com/icon/sophiab/128,O-,177.72,52.6,Hazel,White,Wavy,214.225.51.195,1642 Ninth Street,washington,alabama,AL,32822,united states,12:a3:d3:6f:5c:5b,Pepperdine University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
4,James,Davis,,46.0,male,james.davis@x.dummyjson.com,+49 614-958-9364,jamesd,1979-05-04,https://dummyjson.com/icon/jamesd/128,AB+,193.31,62.1,Amber,Blonde,Straight,101.118.131.66,238 Jefferson Street,seattle,pennsylvania,PA,68354,united states,10:7d:df:1f:97:58,University of Southern California,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
5,Emma,Miller,Johnson,31.0,female,emma.miller@x.dummyjson.com,+91 759-776-1614,emmaj,1994-06-13,https://dummyjson.com/icon/emmaj/128,AB-,192.8,63.62,Green,White,Straight,224.126.22.183,607 Fourth Street,jacksonville,colorado,CO,26593,united states,32:b9:7e:8d:f5:e8,Northeastern University,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
6,Olivia,Wilson,,23.0,female,olivia.wilson@x.dummyjson.com,+91 607-295-6448,oliviaw,2002-04-20,https://dummyjson.com/icon/oliviaw/128,B+,182.61,58.0,Hazel,Gray,Curly,249.178.112.207,547 First Street,fort worth,tennessee,TN,83843,united states,9c:7f:ea:34:18:19,University of North Carolina--Chapel Hill,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
7,Alexander,Jones,,39.0,male,alexander.jones@x.dummyjson.com,+61 260-824-4986,alexanderj,1986-10-20,https://dummyjson.com/icon/alexanderj/128,AB-,153.89,77.42,Blue,White,Straight,166.204.84.32,664 Maple Street,indianapolis,delaware,DE,86684,united states,d2:64:58:2d:1c:46,University of Illinois--Urbana-Champaign,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
8,Ava,Taylor,,28.0,female,ava.taylor@x.dummyjson.com,+1 458-853-7877,avat,1997-08-25,https://dummyjson.com/icon/avat/128,AB-,168.47,57.08,Hazel,Red,Kinky,150.73.197.233,1197 First Street,fort worth,rhode island,RI,24771,united states,8d:2e:c2:d6:e7:a8,University of Wisconsin--Madison,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
9,Ethan,Martinez,,34.0,male,ethan.martinez@x.dummyjson.com,+92 933-608-5081,ethanm,1991-02-12,https://dummyjson.com/icon/ethanm/128,AB+,159.19,68.81,Hazel,Purple,Curly,63.191.127.71,466 Pine Street,san antonio,louisiana,LA,72360,united states,59:e:9e:e3:29:da,Syracuse University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
10,Isabella,Anderson,Davis,32.0,female,isabella.anderson@x.dummyjson.com,+49 770-658-4885,isabellad,1993-06-10,https://dummyjson.com/icon/isabellad/128,A-,150.56,50.1,Brown,Blonde,Curly,114.9.114.205,1964 Oak Street,new york,utah,UT,89352,united states,b1:b0:d0:a2:82:80,California Institute of Technology (Caltech),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
11,Liam,Garcia,,30.0,male,liam.garcia@x.dummyjson.com,+92 870-217-6201,liamg,1995-06-06,https://dummyjson.com/icon/liamg/128,AB-,162.32,93.16,Violet,Red,Wavy,56.201.85.9,576 Fifth Street,denver,south dakota,SD,57252,united states,31:9a:28:8b:99:6c,Ohio State University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
12,Mia,Rodriguez,,25.0,female,mia.rodriguez@x.dummyjson.com,+49 989-461-8403,miar,2000-08-04,https://dummyjson.com/icon/miar/128,O-,188.08,56.03,Blue,Purple,Wavy,11.72.253.90,1627 Sixth Street,jacksonville,west virginia,WV,41810,united states,53:d7:a4:6:1e:58,William & Mary,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
13,Noah,Hernandez,,41.0,male,noah.hernandez@x.dummyjson.com,+49 393-605-6968,noahh,1984-06-05,https://dummyjson.com/icon/noahh/128,AB+,188.62,69.49,Brown,Red,Curly,169.154.126.57,1413 Maple Street,new york,north dakota,ND,73696,united states,d4:fe:ae:8f:eb:a3,New York University (NYU),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
14,Charlotte,Lopez,Martinez,37.0,female,charlotte.lopez@x.dummyjson.com,+44 373-953-5028,charlottem,1988-06-08,https://dummyjson.com/icon/charlottem/128,AB-,178.92,82.46,Brown,Gray,Kinky,119.103.95.60,208 Second Street,columbus,ohio,OH,42044,united states,f6:ff:37:aa:6c:f1,Northeastern University,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
15,William,Gonzalez,,33.0,male,william.gonzalez@x.dummyjson.com,+81 905-252-7319,williamg,1992-03-27,https://dummyjson.com/icon/williamg/128,B-,173.21,82.41,Hazel,Gray,Curly,250.2.241.204,31 Maple Street,san jose,utah,UT,78243,united states,f5:68:28:f9:ec:89,Tufts University,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,ethereum (erc20)
